cleaned_sentence;mount_list;tags
Art Higbee Jim Erickson free climb the 25 pitch NW Face of Half Dome Yosemite at 5 12d 3 pitches of 5 12 5 of 5 11;['half dome'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
As I said all mountains must be respected and all are beautiful in their own way The Matterhorn which is foreboding and fascinating and I was continually glancing at it on my one trip to Zermatt years ago and while skiing beneath it isn t exactly beautiful to me in the classical sense Awesome distinctive but not quite pretty Mt Sneffels in southwestern Colorado whose name was inspired by Snaefel in Iceland is spectacularly pretty So is Sniktau viewable from I 70 although neither has a very beautiful name;['matterhorn', 'sneffels', 'sniktau'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
As a former Seattleite I have to agree that Mt Rainier is stunning and in the northwest Mt Hood is right up there;['rainier'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
As far as International travel the Matterhorn;['matterhorn'];['O', 'O', 'O', 'O', 'O', 'O', 'I-MON']
As for here at home yes Mt Rainier is amazing I love Mt Baker too but my favorite view was snow camping at Huntoon Point there and waking up to the views of Mt Shuksan from one side of the tent and Mt Baker on the other side of the tent;['rainier'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended Cho Oyu embracing the breathtaking vistas from the world sixth highest peak;['cho oyu'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended Elbrus where the Caucasus whispered secrets of endurance amid Europe highest peaks;['elbrus'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended K2 facing sheer cliffs and the notorious Bottleneck with unwavering determination;['k2'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended Kazakhstan Khan Tengri a pinnacle in the Tian Shan where the echoes of Central Asia nomadic history resonated in the thin mountain air;['khan tengri'];['O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended Mount Cook navigating New Zealand stunning Southern Alps with precision;['mount cook'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended Puncak Jaya a pinnacle in Oceania where the Papuan wilderness unfolded its untamed beauty;['puncak jaya'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended the majestic Mount Olympus dwelling in the mythical heights of Greece;['olympus'];['O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended the vertiginous slopes of Annapurna tasting the thin air of the world deadliest peaks;['annapurna'];['O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascended the volcanic slopes of Kilimanjaro where Africa roof welcomed me with open arms;['kilimanjaro'];['O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascending Aconcagua was a high altitude test The view from the summit showcased the Andean peaks in all their glory;['aconcagua'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ascending Pico de Orizaba was a high altitude adventure The crater edge offered a surreal perspective on Mexico landscape;['pico de orizaba'];['O', 'B-MON', 'I-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
At the pinnacle of the world Mount Everest stood tall challenging even the most courageous souls;['everest'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
At the roof of the world Mount Everest stood tall a challenge calling out to the most courageous souls;['everest'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
At the roof of the world Mount Everest stood tall challenging the bravest souls;['everest'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O']
At the roof of the world Mount Everest stood tall challenging the bravest souls Each step echoed with the determination of climbers and the summit witnessed the triumph of human spirit;['everest'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Australia highest peak Mount Kosciuszko a serene ascent where the eucalyptus scented breeze kissed the sky;['kosciuszko'];['O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Batista Vinatzer and Ettore Castiglioni free climb in two days a 29 pitch route on the Marmolada Dolomites UIAA VII Hardest long totally free climb in the world;['marmolada'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Battled the elements on Gasherbrum where the Karakoram silent giants tested my mettle;['gasherbrum'];['O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Both these mountains can also be described at Holy Mountains especially Mount Kailash where thousands of travellers from India Nepal amp even local Tibetans visit;['kailash'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Breathed the rarified air of Aconcagua where the Andean winds carried dreams to the summit;['aconcagua'];['O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
But if you backed me into corner I d say Ama Dablam in the Himalaya a great snowy tower amongst giants and at home it would be Buchaille Etive Mhor at the head of Glencoe always thrilling The former was only a fly past the latter was an exciting rope protected ascent by Curved Ridge with a long slow cautious icy descent back to the road at Altnafeadh;['ama dablam'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
But in my mind the Matterhorn has strong competition from our local volcano Mt Rainier especially in summer with her green and flowery Paradise meadows capped by a mostly snow covered summit Also from The Great One Denali which is huge and impressive when seen from the Stony Overlook or from the Kantishna area When we are in Denali National Park at our favorite wilderness lodge and this mountain comes out from behind the clouds all I want to do is sit and gaze at him In June this can occur around midnight when the mountain is tinged with pink from the setting sun But I find him most beautiful at midday all snowy white against a deep blue Alaska sky;['matterhorn', 'rainier', 'denali'];['O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Canada Mount Logan tested our expedition skills in the remote Yukon wilderness The vast icefields and towering peaks created a surreal landscape;['logan'];['O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Capturing the active beauty of Mount Etna Europe most active volcano with its billowing smoke against the Sicilian sky;['etna'];['O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Capturing the graceful curves of Mont Blanc Europe tallest peak with its snowfields and dramatic cliffs;['mont blanc'];['O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Capturing the iconic pyramid shape of the Matterhorn bathed in alpenglow at sunrise with its distinctive sharp summit;['matterhorn'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Capturing the rolling hills and rugged beauty of the Colorado Rockies with Pikes Peak distinct summit;['pikes peak'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O']
Cataloged the alpine flora of Mont Blanc painting a picture of biodiversity in the European Alps;['mont blanc'];['O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Cesare Maestri makes the first free solo of the 44 pitch Solleder Route on Monte Civetta in the Dolomites at grade UIAA VI;['monte civetta'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Challenged by the icy embrace of Denali where the Arctic winds narrated tales of endurance;['denali'];['O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Challenged by the remote and icy landscape of Mount Logan Canada highest peak;['logan'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O']
Charlie Porter aid solos the remote big wall Northwest Face Mount Asgard Baffin Island 40 pitches 5 10 A4 Alone for 9 days climbing committing Big Wall climb;['mount asgard'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Claudia I have a close friend from high school who has a ranch in Weed with a picture window in his living room fully filled with Mt Shasta It is a lovely mountain but these days it makes me sad to see her so bereft of snow by July;['shasta'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Claudio Barbier free soloed the 57 pitch Comici Route on the Monte Civetta Dolomites Italy as grade UIAA VI;['monte civetta'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O']
Climbed in the shadow of K2 Broad Peak silent grandeur spoke volumes of the challenges etched into the fabric of the Himalayas;['broad peak', 'k2'];['O', 'O', 'O', 'O', 'O', 'I-MON', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Ararat felt like a journey through history and legend The view from the biblical peak was mesmerizing;['ararat'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing El Capitan was a vertical ballet The granite walls demanded precision and the summit offered a front row seat to Yosemite wonders;['el capitan'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Greece Mount Olympus felt like stepping into the realm of mythological gods The rich history and breathtaking views made it a journey of epic proportions;['olympus'];['O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Kilimanjaro felt like touching the sky The sweeping landscapes below and the sense of accomplishment at the summit were indescribable;['kilimanjaro'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Kilimanjaro was a surreal experience;['kilimanjaro'];['O', 'I-MON', 'O', 'O', 'O', 'O']
Climbing Mount Ararat in Turkey the legendary resting place of Noah Ark felt like a pilgrimage through history and natural wonder;['ararat'];['O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Mount Etna Europe most active volcano was a surreal experience The lunar landscapes and fiery craters painted a vivid picture of nature power;['etna'];['O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Mount Hood in Oregon with its icy slopes and breathtaking views of the Cascade Range was a thrilling adventure in the Pacific Northwest;['mount hood'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Mount Hood was a mesmerizing dance with an active volcano The sweeping views of the Cascades made the effort truly worthwhile;['mount hood'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Mount Kenya was like exploring nature wonderland The diversity of landscapes from lush forests to rocky peaks made every step worth it;['mount kenya'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Mount Olympus felt like a mythic journey The ruins along the way added an ancient touch to the adventure;['olympus'];['O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Mount Olympus felt like ascending to the realm of the gods The mythical aura surrounding this Greek peak added to its allure;['olympus'];['O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Climbing Triglav felt like exploring a fairytale land The view of the Julian Alps from the top was a fairy tale come true;['triglav'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Coincidentally on the subject of Mt Rainier it was featured in today s Seattle Times The Pacific NW section Reader s Lens highlights a photo taken at sunrise Nov 9 2020 in Longbranch The photographer s description said The sun was rising behind Mt Rainier casting its shadow on the underside of the cloud cover The writer of the article said Just a spectacular moment in nature captured gorgeously I agree;['rainier'];['O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Everest formidable heights where the thin air whispered tales of resilience and determination;['everest'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Everest formidable heights where the thin air whispered tales of resilience and triumph;['everest'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Everest in a thrilling ascent navigating treacherous icefalls and fierce winds;['everest'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Gasherbrum navigating Pakistan mighty Karakoram Range with expertise;['gasherbrum'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Mount Kosciuszko cherishing the views from Australia highest peak;['kosciuszko'];['O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Puncak Jaya challenging terrain standing atop Oceania highest peak;['puncak jaya'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered Vinson Massif braving Antarctica harsh conditions to reach its icy peak;['vinson massif'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquered the challenging faces of the Eiger finding victory in the heart of the Swiss Alps;['eiger'];['O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Conquering Everest was a surreal journey The summit majesty and the challenge it presented created an unforgettable experience;['everest'];['O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Cotopaxi smoking summit unveiled Ecuador raw volcanic beauty;['cotopaxi'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Cyn I know Mt Fuji is much loved in Japan and considered beautiful for its symmetry But we saw this mountain when we were in Japan in November 2019 and I was underwhelmed I think it does not match the beauty of our iconic Northwest volcanoes like Rainier Hood etc Notice that I cannot assign a gender to this mountain not sure why But I do realize the importance of Mt Fuji to the Japanese When I was there with my son 25 years ago over New Years we joined a traditional January 1 pre dawn trek up Asama Yama not far from Ise to greet the first sunrise of the New Year It was soul stirring to be walking up the trail at 3 am small lantern in hand in a long line of maybe a hundred others engaging in this tradition Once at the top we all hunkered down among the rocks to avoid the fierce wind and await the sunrise Fortunately it was clear that day and the first light revealed a view of Fuji san in the distance There was an audible gasp of appreciation from the Japanese and one man came to us the only Westerners there very excited to point out the mountain One of many examples of the kindness of the Japanese I have experienced;['rainier', 'fuji'];['O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Danced with the clouds on K2 feeling the pulse of Earth majesty in its savage beauty;['k2'];['O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Danced with the northern lights atop Denali feeling the icy winds narrate the mountain stoic history;['denali'];['O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
